"# If the text in the first column of a row starts with a # character, the row is ignored",,"If the first column for a row is blank, then the row is ignored"
,"If the first column for a row is blank, then the row is ignored",
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,vol_mod,"blank causes no effect on vol_min and vol_max, otherwise the string must match a string in the volumemodgroups.def file and the value in that file corresponding to that string will be used to adjust vol_min and vol_max, clamped to the valid range"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff.",,,,,,,,,,,,,,,,,,,,,
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,,,,,,,,,
,type,primed (a streamed sound which gets primed on some platforms) / streamed / loaded (default = loaded),,,,,,,,,,,,,,,,,,,,,
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,,,,,,,,,
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,,,,,,,,,
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound's volume will be multiplied by that number (a percentage between 0 and 1) any master sound is playing.  If blank, then neither master nor slave.",,,,,,,,,,,,,,,,,,,,,
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,,,,,,,,,
,compression,"a string corresponding to an entry in ""XMAUpdate.tbl"" which is used to determine compression by XMAUpdate.exe",,,,,,,,,,,,,,,,,,,,,
,secondaryaliasname,"defined the name of an additional sound alias to play in addition to the current alias being played. Note that it is an error for the secondaryalias to also define a secondaryaliasname (eg, if B is a secondaryalias of A, B is not allowed to have its own secondaryalias).",,,,,,,,,,,,,,,,,,,,,
,volumefalloffcurve,if blank uses the linear curve which can not be changed. A string 'XXXX' corresponds to the curve defined by the file 'soundaliases/XXXX.vfcurve',,,,,,,,,,,,,,,,,,,,,
,startdelay,defaults to no delay. The value is the number of milliseconds to delay starting the sound by,,,,,,,,,,,,,,,,,,,,,
,speakermap,if blank uses the default speakermappings which cannot be changed. A string 'XXXX' corresponds to the speakermap defined by the file 'soundaliases/XXXX.spkrmap'. ,,,,,,,,,,,,,,,,,,,,,
,reverb,"blank means the alias is affected normally by wet and dry levels, ""fulldrylevel"" forces the alias to use a full drylevel (ignoring the global drylevel), ""nowetlevel"" forces the alias to use no wetlevel (ignoring the global wetlevel)",,,,,,,,,,,,,,,,,,,,,
,lfe percentage,this determines what percentage of the highest calculated spatialized speaker volume should be passed to the LFE. blank means no LFE for the sound,,,,,,,,,,,,,,,,,,,,,

name,sequence,file,vol_min,vol_max,vol_mod,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle,compression,secondaryaliasname,volumefalloffcurve,startdelay,speakermap,reverb,lfe percentage

null,,null.wav,,,,,,,,,,,,,,,,,,,

# Menu sounds / menu music,,,,,,,,,,,,,,,,,,,,,
#music_mainmenu,,music/menu_GRTEMP.mp3,0.35,,music,,,,,menu,streamed,,looping,,menu,,,,,,music
#music_mainmenu_mp,,music/menu_GRTEMP.mp3,0.35,,music,,,,,menu,streamed,,looping,,menu,,,,,,music

#mouse_over,,misc/mouse_ylover.wav,0.65,,interface,,,,,menu,,,,,menu,,,,,,
#mouse_click,,misc/mouse_ylselect.wav,0.65,,interface,,,,,menu,,,,,menu,,,,,,

mission_unlock_cheat,,amb_elements/elm_horse10.wav,0.65,,interface,,,,,menu,,,,,menu,,,,,,

game_save,,null.wav,0.35,,interface,,,,,local,,,,,,,,,,,

#Ambient Tracks,,,,,,,,,,,,,,,,,,,,,
ambient_null,,ambient/silentsong.mp3,0.29,,ambience,,,,,local,streamed,,looping,,,,,,,,
ambient_libya,,ambient/amb_africa_tankbattle.mp3,0.59,,ambience,,,,,local,streamed,,looping,,libya,,,,,,ambience
ambient_newvillers_ext,,ambient/amb_newvillers_rainhvy.mp3,0.45,,ambience,,,,,local,streamed,,looping,,newvillers,,,,,,ambience
ambient_newvillers_int,,ambient/amb_newvillers_rainhvy_int.mp3,0.9,,ambience,,,,,local,streamed,,looping,,newvillers,,,,,,ambience
ambient_newvillerslight_ext,,ambient/amb_newvillers_rainlite.mp3,0.45,,ambience,,,,,local,streamed,,looping,,newvillers,,,,,,ambience
ambient_newvillerslight_int,,ambient/amb_newvillers_rainhvy_int.mp3,0.8,,ambience,,,,,local,streamed,,looping,,newvillers,,,,,,ambience
ambient_newvillersnorain_ext,,ambient/amb_newvillers_norain.mp3,0.55,,ambience,,,,,local,streamed,,looping,,newvillers,,,,,,ambience
ambient_newvillersnorain_int,,ambient/amb_france03_int.mp3,0.7,,ambience,,,,,local,streamed,,looping,,newvillers,,,,,,ambience
ambient_toujane,,ambient/amb_africa03b2_ext.mp3,0.7,,ambience,,,,,local,streamed,,looping,,tunisia decoy,,,,,,ambience
ambient_toujane,,ambient/amb_africa04_ext.mp3,0.82,,ambience,,,,,local,streamed,,looping,,toujane,,,,,,ambience
ambient_toujane,,ambient/amb_africa03b2_ext.mp3,0.75,,ambience,,,,,local,streamed,,looping,,matmata libyatown,,,,,,ambience
ambient_toujane,,ambient/amb_africa_tankbattle.mp3,0.4,,ambience,,,,,local,streamed,,looping,,elalamein,,,,,,ambience
ambient_bergstein_ext,,ambient/amb_newvillers_rainlite.mp3,0.6,,ambience,,,,,local,streamed,,looping,,bergstein,,,,,,ambience
ambient_bergstein_int,,ambient/amb_newvillers_rainhvy_int.mp3,0.9,,ambience,,,,,local,streamed,,looping,,bergstein,,,,,,ambience
ambient_elalamein,,ambient/amb_africa_tankbattle.mp3,0.4,,ambience,,,,,local,streamed,,looping,,elalamein,,,,,,ambience
ambient_hill400assault,,ambient/amb_duhoccliffs_2.mp3,0.9,,ambience,,,,,local,streamed,,looping,,hill400_assault,,,,,,ambience
ambient_newvillers,,ambient/amb_france03_ext.mp3,0.55,,ambience,,,,,local,streamed,,looping,,silotown_defense,,,,,,ambience
ambient_silotownassault_ext,,ambient/amb_france03_ext.mp3,0.75,,ambience,,,,,local,streamed,,looping,,silotown_assault,,,,,,ambience
ambient_silotownassault_int,,ambient/amb_france02_int.mp3,0.85,,ambience,,,,,local,streamed,,looping,,silotown_assault,,,,,,ambience
ambient_beltot_int,,ambient/amb_france03_int.mp3,0.7,,ambience,,,,,local,streamed,,looping,,beltot,,,,,,ambience
ambient_beltot_ext,,ambient/amb_france04_ext.mp3,0.75,,ambience,,,,,local,streamed,,looping,,beltot,,,,,,ambience
