"# If the text in the first column of a row starts with a # character, the row is ignored",,
,,"If the first column for a row is blank, then the row is ignored"
# The first non-comment line of a sound alias file specifies the key name for all values appearing in this column.,,
"# This means it is safe to swap entire columns around, though you should never swap partial columns.",,
"# You can invent new keys, but the game will ignore them if it doesn't know about them.",,
"# You can leave out keys, but the ""name"" and ""file"" keys must always be present.",,

,name,name of the alias that is used to play this sound (required)
,sequence,"used to uniquely identify alias entries when more than one sound goes to an alias, used only to catch unwanted duplicates (default = 0)"
,file,the name of the file that contains the sound data (required)
,vol_min,"0 is silent, 1 is full volume (default = 1)"
,vol_max,"0 is silent, 1 is full volume (default = same as vol_min)"
,pitch_min,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = 1)"
,pitch_max,"1 is normal playback, 2 is twice as fast, 0.5 is half as fast (default = same as pitch_min)"
,dist_min,"within this distance in inches, the sound is always full volume (default = 120)"
,dist_max,"outside this distance in inches, the sound is not started.  If left blank or set to 0, the sound will play from any distance.  This does not affect sound volume falloff."
,channel,"auto, menu, weapon, voice, item, body, local, music, announcer (default = auto)",,,,,,,,,,,,,
,type,streamed / loaded (default = loaded),,,,,,,,,,,,,
,probability,weight to use for the weighted probability of playing this sound instead of another sound (default = 1),,,,,,,,,,,,,
,loop,"whether this sound is ""looping"" or ""nonlooping"" (default = ""nonlooping"")",,,,,,,,,,,,,
,masterslave,"if ""master"", this is a master sound.  If a number, then this sound won't exceed this volume whenever any master sound is playing.  If blank, then neither master nor slave.",,,,,,,,,,,,,
,loadspec,"space-separated list of which maps should use this alias; eg, ""burnville dawnville"".  If blank, the alias is used on all maps.",,,,,,,,,,,,,

name,sequence,file,vol_min,vol_max,pitch_min,pitch_max,dist_min,dist_max,channel,type,probability,loop,masterslave,loadspec,subtitle

#Stalingrad,,,,,,,,,,,,,,,

#Artillery Spotter,,,,,,,,,,,,,,,
artilleryspotter_line66,,voiceovers/stalingrad/ArtillerySpotter_Line_66.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight,
artilleryspotter_line68,,voiceovers/stalingrad/ArtillerySpotter_Line_68.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight,
artilleryspotter_line69,,voiceovers/stalingrad/ArtillerySpotter_Line_69.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight,
artilleryspotter_line70,,voiceovers/stalingrad/ArtillerySpotter_Line_70.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight,
artilleryspotter_line71,,voiceovers/stalingrad/ArtillerySpotter_Line_71.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight
,,,1.14,1.14,,,80,2500,voice,,,,,
#Boatmaster,,,1.14,1.14,,,80,2500,voice,,,,,
boatmaster01,,voiceovers/stalingrad/boatmaster01.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
boatmaster02,,voiceovers/stalingrad/boatmaster02.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
boatmaster02a,,voiceovers/stalingrad/boatmaster02a.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
boatmaster02b,,voiceovers/stalingrad/boatmaster02b.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
boatmaster,,voiceovers/stalingrad/Boatmaster.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
,,,1.14,1.14,,,80,2500,voice,,,,,
#Building Commissar,,,1.14,1.14,,,80,2500,voice,,,,,
BuildingCommissar,,voiceovers/stalingrad/BuildingCommissar.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight
,,,1.14,1.14,,,80,2500,voice,,,,,
#Captain,,,1.14,1.14,,,80,2500,voice,,,,,
captain_line57,,voiceovers/stalingrad/Captain_Line_57.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight
captain_line58,,voiceovers/stalingrad/Captain_Line_58.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight
captain_line59,,voiceovers/stalingrad/Captain_Line_59.wav,1.14,1.14,,,80,2500,voice,streamed,,,master,stalingrad stalingrad_nolight
,,,1.14,1.14,,,80,2500,voice,,,,,
#Commissar1,,,1.14,1.14,,,80,2500,voice,,,,,
commissar1_line5,,voiceovers/stalingrad/Commissar1_Line5.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line8,,voiceovers/stalingrad/Commissar1_Line8.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line26,,voiceovers/stalingrad/Commissar1_Line_26.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line29,,voiceovers/stalingrad/Commissar1_Line_29.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line31,,voiceovers/stalingrad/Commissar1_Line_31.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line34,,voiceovers/stalingrad/Commissar1_Line_34.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line37,,voiceovers/stalingrad/Commissar1_Line_37.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line40,,voiceovers/stalingrad/Commissar1_Line_40.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_line45,,voiceovers/stalingrad/Commissar1_Line_45.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_pain,1,voiceovers/stalingrad/Commissar1_Line_46a.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_pain,2,voiceovers/stalingrad/Commissar1_Line_46b.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_death,1,voiceovers/stalingrad/Commissar1_Line_46c.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_death,2,voiceovers/stalingrad/Commissar1_Line_46d.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar1_charge,,voiceovers/stalingrad/Commissar1_Line_73.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
,,,1.14,1.14,,,80,2500,voice,streamed,,,,
#Commissar2,,,1.14,1.14,,,80,2500,voice,streamed,,,,
commissar2_line47,,voiceovers/stalingrad/Commissar2_Line_47.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar2_line51,,voiceovers/stalingrad/Commissar2_Line_51.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar2_line52,,voiceovers/stalingrad/Commissar2_Line_52.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
commissar2_line54,,voiceovers/stalingrad/Commissar2_Line_54.wav,1.14,1.14,,,80,2500,voice,streamed,,,,stalingrad stalingrad_nolight
